name,ages,errors,site,lat,lon,group average,group std_dev,group std_error,x_3413,y_3413
WM-002,8372,358,HUMB2,79.923,-63.755,8372,,,-351849.110118321,-1036216.9603962601
WM-002,8372,358,HUMB2,79.923,-63.755,7542,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,11111,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,7868,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,8734,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,11294,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,8372,,,-351849.110118321,-1036216.9603962601
WM-001,7542,254,HUMB2,79.923,-63.755,7542,,,-351849.110118321,-1036216.9603962601
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6651,,,-223000.89757147938,-2496461.6076733554
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6713,,,-223000.89757147938,-2496461.6076733554
21-OED1811A,6651,274,ISUNNORK,67.1579,-50.1045,6662,,,-223000.89757147938,-2496461.6076733554
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6651,,,-222800.23642374354,-2496230.876747928
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6713,,,-222800.23642374354,-2496230.876747928
21-OED1810A,6713,244,ISUNNORK,67.1601,-50.1004,6662,,,-222800.23642374354,-2496230.876747928
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6651,,,-222804.59316817316,-2496230.487884356
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6713,,,-222804.59316817316,-2496230.487884356
21-OED1809A,6662,295,ISUNNORK,67.1601,-50.1005,6662,,,-222804.59316817316,-2496230.487884356
KN08-22,7798,214,KEGM1,67.0445,-50.536,7798,,,-243027.2696366827,-2507420.232660813
KN09-08,7991,192,KEGM2,67.0446,-50.5352,7991,,,-242991.1731408579,-2507412.41644286
KN09-08,7991,192,KEGM2,67.0446,-50.5352,8091,,,-242991.1731408579,-2507412.41644286
GRE-10,8091,1757,KEGM2,67.425,-50.201,7991,,,-224480.73782235177,-2466151.1753845746
GRE-10,8091,1757,KEGM2,67.425,-50.201,8091,,,-224480.73782235177,-2466151.1753845746
